Corp Id,CORPORATION NAME,Cohort N,Grad N,2018 State Grad Rate,Non-Waiver Grad N,2018 State Non-Waiver Grad Rate
5375,M S D Wayne Township,1117,1016,90.96%,835,74.75%
5380,Beech Grove City Schools,225,202,89.78%,189,84.00%
5385,Indianapolis Public Schools,1306,1075,82.31%,919,70.37%
5400,School Town of Speedway,100,99,99.00%,88,88.00%
5455,Culver Community Schools Corp,46,45,97.83%,41,89.13%
5470,Argos Community Schools,44,35,79.55%,32,72.73%
5480,Bremen Public Schools,107,100,93.46%,98,91.59%
5485,Plymouth Community School Corp,264,242,91.67%,217,82.20%
5495,Triton School Corporation,67,66,98.51%,65,97.01%
5520,Shoals Community School Corp,40,35,87.50%,35,87.50%
5525,Loogootee Community Sch Corp,58,55,94.83%,53,91.38%
5615,Maconaquah School Corp,161,154,95.65%,139,86.34%
5620,North Miami Community Schools,72,70,97.22%,61,84.72%
5625,Oak Hill United School Corp,116,98,84.48%,92,79.31%
5635,Peru Community Schools,163,159,97.55%,141,86.50%
5705,Richland-Bean Blossom C S C,198,182,91.92%,177,89.39%
5740,Monroe County Community Sch Corp,803,763,95.02%,706,87.92%
5835,North Montgomery Com Sch Corp,142,137,96.48%,122,85.92%
5845,South Montgomery Com Sch Corp,135,128,94.81%,118,87.41%
5855,Crawfordsville Community Schools,169,158,93.49%,146,86.39%
5900,Monroe-Gregg School District,121,115,95.04%,104,85.95%
5910,Eminence Community School Corp,23,18,78.26%,18,78.26%
5925,M S D Martinsville Schools,350,325,92.86%,313,89.43%
5930,Mooresville Con School Corp,340,331,97.35%,312,91.76%
5945,North Newton School Corp,107,97,90.65%,87,81.31%
5995,South Newton School Corp,66,61,92.42%,55,83.33%
6055,Central Noble Com School Corp,93,82,88.17%,78,83.87%
6060,East Noble School Corporation,266,250,93.98%,234,87.97%
6065,West Noble School Corporation,168,142,84.52%,130,77.38%
6080,Rising Sun-Ohio Co Com,48,45,93.75%,40,83.33%
6145,Orleans Community Schools,53,49,92.45%,49,92.45%
6155,Paoli Community School Corp,92,89,96.74%,85,92.39%
6160,Springs Valley Com School Corp,65,64,98.46%,61,93.85%
6195,Spencer-Owen Community Schools,167,155,92.81%,149,89.22%
6260,Southwest Parke Com Sch Corp,68,60,88.24%,59,86.76%
6325,Perry Central Com Schools Corp,88,85,96.59%,78,88.64%
6340,Cannelton City Schools,19,11,57.89%,6,31.58%
6350,Tell City-Troy Twp School Corp,92,90,97.83%,83,90.22%
6375,North Central Parke Comm Schl Corp,106,95,89.62%,86,81.13%
6445,Pike County School Corp,149,140,93.96%,131,87.92%
6460,M S D Boone Township,74,74,100.00%,73,98.65%
6470,Duneland School Corporation,511,471,92.17%,450,88.06%
6510,East Porter County School Corp,206,203,98.54%,198,96.12%
6520,Porter Township School Corp,129,122,94.57%,118,91.47%
6530,Union Township School Corp,133,126,94.74%,114,85.71%
6550,Portage Township Schools,539,504,93.51%,472,87.57%
6560,Valparaiso Community Schools,485,451,92.99%,434,89.48%
