Corp ID,Corp Name,County,2016 Corp Grade
7350,Northwestern Con School Corp,Shelby,B
7360,Southwestern Con Sch Shelby Co,Shelby,A
7365,Shelbyville Central Schools,Shelby,B
7385,North Spencer County Sch Corp,Spencer,A
7445,South Spencer County Sch Corp,Spencer,B
7495,Oregon-Davis School Corp,Starke,C
7515,North Judson-San Pierre Sch Corp,Starke,C
7525,Knox Community School Corp,Starke,C
7605,Fremont Community Schools,Steuben,B
7610,Hamilton Community Schools,Steuben,C
7615,M S D Steuben County,Steuben,B
7645,Northeast School Corp,Sullivan,C
7715,Southwest School Corp,Sullivan,B
7775,Switzerland County School Corp,Switzerland,B
7855,Lafayette School Corporation,Tippecanoe,C
7865,Tippecanoe School Corp,Tippecanoe,B
7875,West Lafayette Com School Corp,Tippecanoe,A
7935,Tri-Central Community Schools,Tipton,C
7945,Tipton Community School Corp,Tipton,B
7950,Union Co/Clg Corner Joint Sch Dist,Union,B
7995,Evansville Vanderburgh School Corp,Vanderburgh,C
8010,North Vermillion Com Sch Corp,Vermillion,C
8020,South Vermillion Com Sch Corp,Vermillion,C
8030,Vigo County School Corp,Vigo,B
8045,Manchester Community Schools,Wabash,B
8050,M S D Wabash County Schools,Wabash,B
8060,Wabash City Schools,Wabash,C
8115,M S D Warren County,Warren,B
8130,Warrick County School Corp,Warrick,A
8205,Salem Community Schools,Washington,C
8215,East Washington School Corp,Washington,B
8220,West Washington School Corp,Washington,B
8305,Nettle Creek School Corporation,Wayne,B
8355,Western Wayne Schools,Wayne,D
8360,Centerville-Abington Com Schs,Wayne,B
8375,Northeastern Wayne Schools,Wayne,B
8385,Richmond Community Schools,Wayne,C
8425,Southern Wells Com Schools,Wells,B
8435,Northern Wells Com Schools,Wells,B
8445,M S D Bluffton-Harrison,Wells,C
8515,North White School Corp,White,B
8525,Frontier School Corporation,White,B
8535,Tri-County School Corporation,White,B
8565,Twin Lakes School Corp,White,C
8625,Smith-Green Community Schools,Whitley,B
8665,Whitley Co Cons Schools,Whitley,B
