Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,Non-Waiver Grad N,Non-Waiver Grad Rate
5835,North Montgomery Com Sch Corp,156,153,98.08%,141,90.38%
5845,South Montgomery Com Sch Corp,127,122,96.06%,110,86.61%
5855,Crawfordsville Community Schools,154,148,96.10%,129,83.77%
5900,Monroe-Gregg School District,137,119,86.86%,110,80.29%
5910,Eminence Community School Corp,25,23,92.00%,21,84.00%
5925,M S D Martinsville Schools,341,313,91.79%,287,84.16%
5930,Mooresville Con School Corp,328,310,94.51%,283,86.28%
5945,North Newton School Corp,106,97,91.51%,91,85.85%
5995,South Newton School Corp,51,41,80.39%,40,78.43%
6055,Central Noble Com School Corp,95,90,94.74%,74,77.89%
6060,East Noble School Corporation,301,274,91.03%,245,81.40%
6065,West Noble School Corporation,158,141,89.24%,132,83.54%
6080,Rising Sun-Ohio Co Com,48,45,93.75%,43,89.58%
6145,Orleans Community Schools,56,55,98.21%,55,98.21%
6155,Paoli Community School Corp,81,76,93.83%,73,90.12%
6160,Springs Valley Com School Corp,57,48,84.21%,42,73.68%
6195,Spencer-Owen Community Schools,178,164,92.13%,146,82.02%
6260,Southwest Parke Com Sch Corp,85,73,85.88%,73,85.88%
6325,Perry Central Com Schools Corp,102,98,96.08%,84,82.35%
6340,Cannelton City Schools,21,10,47.62%,8,38.10%
6350,Tell City-Troy Twp School Corp,105,97,92.38%,87,82.86%
6375,North Central Parke Comm Schl Corp,93,79,84.95%,72,77.42%
6445,Pike County School Corp,137,127,92.70%,124,90.51%
6460,M S D Boone Township,89,86,96.63%,86,96.63%
6470,Duneland School Corporation,472,436,92.37%,408,86.44%
6510,East Porter County School Corp,170,162,95.29%,155,91.18%
6520,Porter Township School Corp,114,108,94.74%,104,91.23%
6530,Union Township School Corp,135,132,97.78%,122,90.37%
6550,Portage Township Schools,577,541,93.76%,517,89.60%
6560,Valparaiso Community Schools,473,439,92.81%,422,89.22%
6590,M S D Mount Vernon,163,146,89.57%,124,76.07%
6600,M S D North Posey Co Schools,136,131,96.32%,126,92.65%
6620,Eastern Pulaski Community Sch Corp,92,85,92.39%,81,88.04%
6630,West Central School Corp,67,61,91.04%,57,85.07%
6705,South Putnam Community Schools,86,80,93.02%,78,90.70%
6715,North Putnam Community Schools,119,110,92.44%,106,89.08%
6750,Cloverdale Community Schools,79,74,93.67%,72,91.14%
6755,Greencastle Community School Corp,125,110,88.00%,106,84.80%
6795,Union School Corporation,47,37,78.72%,30,63.83%
6805,Randolph Southern School Corp,29,29,100.00%,27,93.10%
6820,Monroe Central School Corp,82,77,93.90%,76,92.68%
6825,Randolph Central School Corp,111,99,89.19%,88,79.28%
6835,Randolph Eastern School Corp,74,69,93.24%,58,78.38%
6865,South Ripley Com Sch Corp,71,70,98.59%,62,87.32%
6895,Batesville Community School Corp,170,160,94.12%,158,92.94%
6900,Jac-Cen-Del Community Sch Corp,63,58,92.06%,56,88.89%
6910,Milan Community Schools,93,85,91.40%,78,83.87%
6995,Rush County Schools,172,168,97.67%,160,93.02%
7150,John Glenn School Corporation,156,148,94.87%,143,91.67%
7175,Penn-Harris-Madison School Corp,871,825,94.72%,761,87.37%
7200,School City of Mishawaka,342,310,90.64%,278,81.29%
7205,South Bend Community School Corp,1260,997,79.13%,851,67.54%
7215,Union-North United School Corp,82,67,81.71%,61,74.39%
7230,Scott County School District 1,97,88,90.72%,80,82.47%
7255,Scott County School District 2,187,158,84.49%,148,79.14%
7285,Shelby Eastern Schools,79,77,97.47%,69,87.34%
7350,Northwestern Con School Corp,92,88,95.65%,87,94.57%
7360,Southwestern Con Sch Shelby Co,58,57,98.28%,51,87.93%
7365,Shelbyville Central Schools,268,252,94.03%,241,89.93%
7385,North Spencer County Sch Corp,127,123,96.85%,117,92.13%
7445,South Spencer County Sch Corp,103,90,87.38%,86,83.50%
7495,Oregon-Davis School Corp,41,35,85.37%,34,82.93%
7515,North Judson-San Pierre Sch Corp,89,83,93.26%,68,76.40%
7525,Knox Community School Corp,128,121,94.53%,115,89.84%
7605,Fremont Community Schools,76,65,85.53%,61,80.26%
7610,Hamilton Community Schools,28,25,89.29%,20,71.43%
7615,M S D Steuben County,166,144,86.75%,130,78.31%
7645,Northeast School Corp,67,55,82.09%,50,74.63%
7715,Southwest School Corporation,148,126,85.14%,124,83.78%
7775,Switzerland County School Corp,108,103,95.37%,98,90.74%
7855,Lafayette School Corporation,448,391,87.28%,358,79.91%
7865,Tippecanoe School Corp,806,744,92.31%,687,85.24%
7875,West Lafayette Com School Corp,171,167,97.66%,163,95.32%
7935,Tri-Central Community Schools,82,77,93.90%,74,90.24%
7945,Tipton Community School Corp,137,131,95.62%,115,83.94%
7950,Union Co/Clg Corner Joint Sch Dist,110,101,91.82%,95,86.36%
7995,Evansville Vanderburgh School Corp,1575,1261,80.06%,1122,71.24%
8010,North Vermillion Com Sch Corp,65,61,93.85%,38,58.46%
8020,South Vermillion Com Sch Corp,122,115,94.26%,108,88.52%
8030,Vigo County School Corp,950,843,88.74%,792,83.37%
8045,Manchester Community Schools,108,103,95.37%,97,89.81%
8050,M S D Wabash County Schools,207,169,81.64%,142,68.60%
8060,Wabash City Schools,96,86,89.58%,77,80.21%
8115,M S D Warren County,74,71,95.95%,71,95.95%
8130,Warrick County School Corp,728,664,91.21%,621,85.30%
8205,Salem Community Schools,149,130,87.25%,117,78.52%
8215,East Washington School Corp,95,88,92.63%,82,86.32%
8220,West Washington School Corp,67,61,91.04%,60,89.55%
8305,Nettle Creek School Corporation,84,82,97.62%,76,90.48%
8355,Western Wayne Schools,79,74,93.67%,61,77.22%
8360,Centerville-Abington Com Schs,95,91,95.79%,85,89.47%
8375,Northeastern Wayne Schools,112,109,97.32%,105,93.75%
8385,Richmond Community Schools,280,270,96.43%,244,87.14%
8425,Southern Wells Com Schools,72,68,94.44%,67,93.06%
8435,Northern Wells Community Schools,167,161,96.41%,145,86.83%
8445,M S D Bluffton-Harrison,101,100,99.01%,90,89.11%
8515,North White School Corp,48,43,89.58%,39,81.25%
8525,Frontier School Corporation,52,48,92.31%,46,88.46%
8535,Tri-County School Corporation,51,47,92.16%,44,86.27%
8565,Twin Lakes School Corp,194,157,80.93%,152,78.35%
8625,Smith-Green Community Schools,103,92,89.32%,90,87.38%
8665,Whitley County Con Schools,250,229,91.60%,220,88.00%
8810,CSUSA Howe,78,38,48.72%,35,44.87%
8815,CSUSA Manual,132,103,78.03%,92,69.70%
8820,Edison Learning Roosevelt,101,46,45.54%,34,33.66%
9120,Insight School of Indiana,122,21,17.21%,9,7.38%
9200,Archdiocese of Indianapolis,1356,1338,98.67%,1326,97.79%
9205,Diocese of Gary,351,320,91.17%,305,86.89%
9210,Diocese of Lafayette Catholic Sch,265,264,99.62%,264,99.62%
9215,Diocese of Evansville,324,323,99.69%,316,97.53%
9220,Diocese of Fort Wayne - South Bend,748,738,98.66%,725,96.93%
9230,Lutheran Schools of Indiana,304,299,98.36%,292,96.05%
9305,Excel Center - Richmond,196,67,34.18%,57,29.08%
9315,Signature School Inc,83,83,100.00%,83,100.00%
9320,Community Montessori Inc,41,41,100.00%,30,73.17%
9325,Options Charter School - Carmel,64,28,43.75%,23,35.94%
9330,Irvington Community School,87,71,81.61%,67,77.01%
9335,Excel Center - Lafayette Square,264,55,20.83%,47,17.80%
9345,Excel Center - Lafayette,205,78,38.05%,73,35.61%
9355,Excel Center - Kokomo,249,70,28.11%,63,25.30%
9380,Christel House Academy South,44,37,84.09%,37,84.09%
9385,Christel House DORS South,104,20,19.23%,20,19.23%
9440,Christel House DORS West,62,18,29.03%,18,29.03%
9445,Charles A Tindley Accelerated Sch,38,35,92.11%,35,92.11%
9460,Thea Bowman Leadership Academy,104,93,89.42%,87,83.65%
9535,Gary Lighthouse Charter School,114,112,98.25%,89,78.07%
9545,21st Century Charter Sch of Gary,46,41,89.13%,34,73.91%
9575,Indpls Lighthouse Charter School,73,72,98.63%,67,91.78%
9620,Burris Laboratory School,41,41,100.00%,40,97.56%
9625,Indiana Academy for Sci Math Hmn,151,147,97.35%,147,97.35%
9630,Carpe Diem - Shadeland,***,***,***,***,***
9640,Options Charter School Noblesville,66,30,45.45%,27,40.91%
9650,Herron Charter,168,161,95.83%,161,95.83%
9655,Hope Academy,19,11,57.89%,11,57.89%
9670,Indianapolis Metropolitan High Sch,55,21,38.18%,17,30.91%
9705,Hammond Academy of Science & Tech,67,66,98.51%,64,95.52%
9710,Carpe Diem - Northwest,15,7,46.67%,2,13.33%
9730,Neighbors' New Vistas High School,93,24,25.81%,24,25.81%
9750,Excel Center - Anderson,167,30,17.96%,28,16.77%
9755,Carpe Diem - Meridian Campus,22,7,31.82%,7,31.82%
9760,Smith Academy for Excellence,***,***,***,***,***
9790,Anderson Preparatory Academy,52,47,90.38%,42,80.77%
9805,Hoosier Academy - Indianapolis,19,13,68.42%,10,52.63%
9840,Excel Center - University Heights,193,42,21.76%,39,20.21%
9855,Excel Center - Noblesville,91,27,29.67%,25,27.47%
9865,Hoosier Acad Virtual Charter,506,118,23.32%,95,18.77%
9875,Rock Creek Community Academy,39,38,97.44%,34,87.18%
