Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
6145,Orleans Community Schools,56,55,98.21%,55,98.21%
6155,Paoli Community School Corporation,81,76,93.83%,73,90.12%
7175,Penn-Harris-Madison School Corporation,871,825,94.72%,761,87.37%
5635,Peru Community Schools,126,121,96.03%,115,91.27%
6445,Pike County School Corporation,137,127,92.70%,124,90.51%
5350,Pike Township Metropolitan School District,726,682,93.94%,596,82.09%
775,Pioneer Regional School Corporation,51,44,86.27%,42,82.35%
3330,Plainfield Community School Corporation,396,369,93.18%,357,90.15%
5485,Plymouth Community School Corporation,289,256,88.58%,226,78.20%
6550,Portage Township Schools,577,541,93.76%,517,89.60%
6520,Porter Township School Corporation,114,108,94.74%,104,91.23%
4515,Prairie Heights Community School Corporation,89,84,94.38%,81,91.01%
6825,Randolph Central School Corporation,111,99,89.19%,88,79.28%
6835,Randolph Eastern School Corporation,74,69,93.24%,58,78.38%
6805,Randolph Southern School Corporation,29,29,100.00%,27,93.10%
3815,Rensselaer Central School Corporation,122,114,93.44%,100,81.97%
5705,Richland-Bean Blossom Community School Corporation,203,180,88.67%,172,84.73%
4590,River Forest Community School Corporation,106,90,84.91%,79,74.53%
2645,Rochester Community School Corporation,115,111,96.52%,103,89.57%
1180,Rossville Consolidated School District,83,78,93.98%,74,89.16%
6995,Rush County Schools,172,168,97.67%,160,93.02%
8205,Salem Community Schools,149,130,87.25%,117,78.52%
4670,School City of East Chicago,332,198,59.64%,165,49.70%
4710,School City of Hammond,948,729,76.90%,643,67.83%
4730,School City of Hobart,297,285,95.96%,253,85.19%
7200,School City of Mishawaka,342,310,90.64%,278,81.29%
4760,School City of Whiting,104,84,80.77%,84,80.77%
4720,School Town of Highland,261,245,93.87%,237,90.80%
4740,School Town of Munster,368,341,92.66%,336,91.30%
7230,Scott County School District 1,97,88,90.72%,80,82.47%
7255,Scott County School District 2,187,158,84.49%,148,79.14%
3675,Seymour Community Schools,307,282,91.86%,252,82.08%
2960,Shakamak Schools Metropolitan School District,60,58,96.67%,58,96.67%
7285,Shelby Eastern Schools,79,77,97.47%,69,87.34%
7365,Shelbyville Central Schools,268,252,94.03%,241,89.93%
3435,Shenandoah School Corporation,107,91,85.05%,89,83.18%
3055,Sheridan Community Schools,67,64,95.52%,62,92.54%
5520,Shoals Community School Corporation,46,43,93.48%,42,91.30%
8625,Smith-Green Community Schools,103,92,89.32%,90,87.38%
35,South Adams Schools,111,103,92.79%,99,89.19%
7205,South Bend Community School Corporation,1260,997,79.13%,851,67.54%
4940,South Central Community School Corporation,86,81,94.19%,76,88.37%
1600,South Dearborn Community School Corporation,213,192,90.14%,167,78.40%
2765,South Gibson School Corporation,146,139,95.21%,137,93.84%
3190,South Harrison Community Schools,220,209,95.00%,191,86.82%
3415,South Henry School Corporation,71,69,97.18%,68,95.77%
4325,South Knox School Corporation,87,83,95.40%,82,94.25%
5255,South Madison Community School Corporation,330,306,92.73%,287,86.97%
5845,South Montgomery Community School Corporation,127,122,96.06%,110,86.61%
5995,South Newton School Corporation,51,41,80.39%,40,78.43%
6705,South Putnam Community Schools,86,80,93.02%,78,90.70%
6865,South Ripley Community School Corporation,71,70,98.59%,62,87.32%
7445,South Spencer County School Corporation,103,90,87.38%,86,83.50%
8020,South Vermillion Community School Corporation,122,115,94.26%,108,88.52%
2100,Southeast Dubois County School Corporation,104,102,98.08%,102,98.08%
2455,Southeast Fountain School Corporation,97,89,91.75%,80,82.47%
3115,Southern Hancock County Community School Corporation,260,238,91.54%,235,90.38%
8425,Southern Wells Community Schools,72,68,94.44%,67,93.06%
2110,Southwest Dubois County School Corporation,122,100,81.97%,91,74.59%
6260,Southwest Parke Community School Corporation,85,73,85.88%,73,85.88%
7715,Southwest School Corporation,148,126,85.14%,124,83.78%
6195,Spencer-Owen Community Schools,178,164,92.13%,146,82.02%
6160,Springs Valley Community School Corporation,57,48,84.21%,42,73.68%
7615,Steuben County Metropolitan School District,166,144,86.75%,130,78.31%
1560,Sunman-Dearborn Community School Corporation,319,311,97.49%,294,92.16%
7775,Switzerland County School Corporation,108,103,95.37%,98,90.74%
3460,Taylor Community School Corporation,74,63,85.14%,56,75.68%
7865,Tippecanoe School Corporation,806,744,92.31%,687,85.24%
4445,Tippecanoe Valley School Corporation,154,145,94.16%,131,85.06%
7945,Tipton Community School Corporation,137,131,95.62%,115,83.94%
8535,Tri-County School Corporation,51,47,92.16%,44,86.27%
4645,Tri-Creek School Corporation,291,284,97.59%,273,93.81%
