Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
5375,M S D Wayne Township,1147,973,84.8%,820,71.5%
5380,Beech Grove City Schools,163,142,87.1%,131,80.4%
5385,Indianapolis Public Schools,1130,869,76.9%,725,64.2%
5400,School Town of Speedway,89,84,94.4%,79,88.8%
5455,Culver Community Schools Corp,70,64,91.4%,59,84.3%
5470,Argos Community Schools,48,38,79.2%,37,77.1%
5480,Bremen Public Schools,115,103,89.6%,103,89.6%
5485,Plymouth Community School Corp,273,236,86.4%,218,79.9%
5495,Triton School Corporation,84,76,90.5%,75,89.3%
5520,Shoals Community School Corp,36,32,88.9%,29,80.6%
5525,Loogootee Community Sch Corp,78,74,94.9%,69,88.5%
5615,Maconaquah School Corp,121,113,93.4%,104,86.0%
5620,North Miami Community Schools,59,54,91.5%,48,81.4%
5625,Oak Hill United School Corp,116,109,94.0%,109,94.0%
5635,Peru Community Schools,144,141,97.9%,132,91.7%
5705,Richland-Bean Blossom C S C,189,174,92.1%,170,89.9%
5740,Monroe County Community Sch Corp,767,723,94.3%,691,90.1%
5835,North Montgomery Com Sch Corp,138,133,96.4%,125,90.6%
5845,South Montgomery Com Sch Corp,102,100,98.0%,96,94.1%
5855,Crawfordsville Community Schools,148,143,96.6%,126,85.1%
5900,Monroe-Gregg School District,119,108,90.8%,101,84.9%
5910,Eminence Community School Corp,28,28,100.0%,27,96.4%
5925,M S D Martinsville Schools,315,297,94.3%,284,90.2%
5930,Mooresville Con School Corp,309,288,93.2%,270,87.4%
5945,North Newton School Corp,98,93,94.9%,84,85.7%
5995,South Newton School Corp,72,66,91.7%,66,91.7%
6055,Central Noble Com School Corp,108,102,94.4%,78,72.2%
6060,East Noble School Corporation,286,252,88.1%,217,75.9%
6065,West Noble School Corporation,153,143,93.5%,139,90.8%
6080,Rising Sun-Ohio Co Com,42,38,90.5%,37,88.1%
6145,Orleans Community Schools,60,58,96.7%,58,96.7%
6155,Paoli Community School Corp,82,67,81.7%,59,72.0%
6160,Springs Valley Com School Corp,58,55,94.8%,52,89.7%
